,train_ind,train_acc,train_f1,train_fpr,train_fnr,train_fpr_all,train_fpr_mean,train_fpr_diff,train_fnr_all,train_fnr_mean,train_fnr_diff,test_ind,test_acc,test_f1,test_fpr,test_fnr,test_fpr_all,test_fpr_mean,test_fpr_diff,test_fnr_all,test_fnr_mean,test_fnr_diff
29,0.1159,0.9824,0.9820,0.0172,0.0180,"[0.03617571059431524, 0.0702247191011236, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13254821976405462,0.12682424265996303,"[0.07976366322008863, 0.0736462093862816, 0.14705882352941177, 0.0, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.07454776904741395,0.06495249370968238,0.1299,0.9153,0.9125,0.0832,0.0863,"[0.10559006211180125, 0.16783216783216784, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.3089922913525398,0.22672782392173188,"[0.12666666666666668, 0.1099476439790576, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09654107454500124,0.07495551724515823
30,0.1156,0.9820,0.9816,0.0182,0.0177,"[0.03875968992248062, 0.07584269662921349, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1339152125734305,0.12783790354933325,"[0.07976366322008863, 0.07075812274368232, 0.14705882352941177, 0.0, 0.0024449877750611247, 0.03333333333333333, 0.10810810810810811, 0.08333333333333333], mean FNR",0.06560004650537732,0.05611568509843547,0.1299,0.9150,0.9123,0.0841,0.0858,"[0.10559006211180125, 0.17482517482517482, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.3099912923515408,0.2270279152198662,"[0.12666666666666668, 0.1099476439790576, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09654107454500124,0.07508633880455122
31,0.1180,0.9812,0.9808,0.0201,0.0173,"[0.04909560723514212, 0.08426966292134831, 0.0, 0.6666666666666666, 0.044444444444444446, 0.0], mean FPR",0.14074606354460026,0.13403275706449283,"[0.07090103397341212, 0.061371841155234655, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.08108108108108109, 0.08333333333333333], mean FNR",0.055222417017706464,0.045959883472344025,0.1308,0.9128,0.9102,0.0895,0.0848,"[0.10559006211180125, 0.18181818181818182, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.3109902933505418,0.22418291286410066,"[0.12, 0.1082024432809773, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09548959112440787,0.07429649850274382
32,0.1162,0.9824,0.9820,0.0176,0.0175,"[0.03875968992248062, 0.07584269662921349, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1339152125734305,0.12804990270133665,"[0.07385524372230429, 0.07003610108303249, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.0686398158173828,0.059266368341230655,0.1291,0.9143,0.9115,0.0846,0.0869,"[0.10559006211180125, 0.18181818181818182, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.3109902933505418,0.22767746136843386,"[0.12333333333333334, 0.10645724258289703, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.0956881077038145,0.0739717288445785
33,0.1187,0.9833,0.9829,0.0157,0.0177,"[0.03617571059431524, 0.06741573033707865, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13208005497004713,0.12685074255396347,"[0.0827178729689808, 0.07725631768953069, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07065017154902964,0.06116581014208779,0.1299,0.9163,0.9131,0.0778,0.0900,"[0.09937888198757763, 0.17482517482517482, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.2988998992725701,0.22292841478836545,"[0.13333333333333333, 0.11343804537521815, 0.125, 0.0, 0.0, 0.02564102564102564, 0.2857142857142857, 0.125], mean FNR",0.10101583625798286,0.07210427163213251
34,0.1169,0.9837,0.9833,0.0140,0.0186,"[0.03359173126614987, 0.06179775280898876, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13071306216067127,0.12604908081659663,"[0.0930576070901034, 0.0851985559566787, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07293541809756346,0.0630074009674628,0.1299,0.9171,0.9136,0.0744,0.0921,"[0.09937888198757763, 0.17482517482517482, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.2988998992725701,0.2253745987413987,"[0.14, 0.12041884816753927, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10592689814548453,0.07008179087180583
35,0.1187,0.9837,0.9833,0.0140,0.0186,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.12511275122858165,"[0.0930576070901034, 0.08664259927797834, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07311592351272592,0.06318790638262525,0.1308,0.9178,0.9144,0.0734,0.0916,"[0.09316770186335403, 0.17482517482517482, 0.0, 0.5, 1.0, 0.04, 0.0], mean FPR",0.25828469666978987,0.2363724797282187,"[0.14333333333333334, 0.12216404886561955, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10656171489941124,0.07084742918512552
36,0.1190,0.9836,0.9832,0.0140,0.0189,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.12511275122858165,"[0.0930576070901034, 0.08664259927797834, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07311592351272592,0.06307699245183554,0.1308,0.9178,0.9144,0.0734,0.0916,"[0.09316770186335403, 0.17482517482517482, 0.0, 0.5, 1.0, 0.04, 0.0], mean FPR",0.25828469666978987,0.2363724797282187,"[0.14333333333333334, 0.12216404886561955, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10656171489941124,0.07084742918512552
37,0.1190,0.9836,0.9832,0.0140,0.0189,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.12511275122858165,"[0.0930576070901034, 0.08664259927797834, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07311592351272592,0.06307699245183554,0.1308,0.9176,0.9142,0.0739,0.0916,"[0.09316770186335403, 0.17482517482517482, 0.0, 0.5, 1.0, 0.04, 0.0], mean FPR",0.25828469666978987,0.23630258875813204,"[0.14333333333333334, 0.12216404886561955, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10656171489941124,0.07084742918512552
38,0.1197,0.9838,0.9834,0.0140,0.0184,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.12511275122858165,"[0.0915805022156573, 0.08592057761732852, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07284103269583894,0.06302392949652796,0.1308,0.9176,0.9142,0.0739,0.0916,"[0.09316770186335403, 0.17482517482517482, 0.0, 0.5, 1.0, 0.04, 0.0], mean FPR",0.25828469666978987,0.23630258875813204,"[0.14333333333333334, 0.12041884816753927, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.1063435648121512,0.07062927909786548
39,0.1194,0.9836,0.9832,0.0140,0.0189,"[0.03359173126614987, 0.056179775280898875, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12977673257265626,0.12511275122858165,"[0.0930576070901034, 0.08664259927797834, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07311592351272592,0.06307699245183554,0.1299,0.9176,0.9142,0.0739,0.0916,"[0.09316770186335403, 0.17482517482517482, 0.0, 0.5, 1.0, 0.04, 0.0], mean FPR",0.25828469666978987,0.23630258875813204,"[0.14, 0.11867364746945899, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.1057087480582245,0.06999446234393877
40,0.1173,0.9833,0.9829,0.0157,0.0177,"[0.03617571059431524, 0.06741573033707865, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13208005497004713,0.12685074255396347,"[0.08714918759231906, 0.08014440433212996, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07156509670727185,0.06208073530032998,0.1275,0.9168,0.9137,0.0778,0.0890,"[0.09937888198757763, 0.17482517482517482, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.2988998992725701,0.22292841478836545,"[0.13, 0.11343804537521815, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.1038042977964444,0.06874411987912361
41,0.1149,0.9825,0.9822,0.0195,0.0153,"[0.04392764857881137, 0.08707865168539326, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13664919819218227,0.13014789086407824,"[0.06499261447562776, 0.06498194945848375, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06352183983010126,0.05525753166184619,0.1291,0.9123,0.9100,0.0934,0.0816,"[0.11801242236024845, 0.1958041958041958, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.32496699987383215,0.2353639805839244,"[0.11666666666666667, 0.09424083769633508, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09332772375966093,0.0729195604943548
42,0.1197,0.9786,0.9783,0.0273,0.0151,"[0.06201550387596899, 0.10393258426966293, 0.0, 1.0, 0.022222222222222223, 0.0], mean FPR",0.19802838506130901,0.19062097765390162,"[0.056129985228951254, 0.05270758122743682, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.05405405405405406, 0.08333333333333333], mean FNR",0.04891462505529574,0.04076123081783038,0.1250,0.9062,0.9046,0.1067,0.0801,"[0.13043478260869565, 0.20279720279720279, 0.16666666666666666, 0.5, 1.0, 0.08, 0.2857142857142857], mean FPR",0.33794470539812155,0.2389064051465141,"[0.09666666666666666, 0.08726003490401396, 0.125, 0.0, 0.0, 0.0, 0.21428571428571427, 0.125], mean FNR",0.08102655198204936,0.06101085339492221
43,0.1166,0.9841,0.9837,0.0161,0.0157,"[0.03617571059431524, 0.07303370786516854, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1330163845580621,0.12764573937397616,"[0.07680945347119646, 0.07725631768953069, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06653324073342823,0.058047104703593734,0.1340,0.9161,0.9131,0.0812,0.0869,"[0.10559006211180125, 0.18181818181818182, 0.0, 0.5, 1.0, 0.04, 0.07142857142857142], mean FPR",0.2712624021940792,0.2278237664658153,"[0.13666666666666666, 0.1099476439790576, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10420133095525766,0.06966443927550883
44,0.1166,0.9842,0.9838,0.0153,0.0164,"[0.03617571059431524, 0.07303370786516854, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1330163845580621,0.1279284049099807,"[0.0827178729689808, 0.08086642599277978, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.0677230567085574,0.0589041788863538,0.1382,0.9168,0.9138,0.0788,0.0879,"[0.10559006211180125, 0.18181818181818182, 0.0, 0.5, 1.0, 0.04, 0.0], mean FPR",0.26105832056142614,0.23837730294890166,"[0.14, 0.1169284467713787, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10549059797096447,0.07069206317242965
45,0.1162,0.9840,0.9836,0.0165,0.0155,"[0.03875968992248062, 0.07584269662921349, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1339152125734305,0.12840323462134232,"[0.07533234859675036, 0.07581227436823104, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06616809720896,0.05779287510991522,0.1308,0.9150,0.9123,0.0841,0.0858,"[0.11180124223602485, 0.1888111888111888, 0.0, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.27886300035368355,0.22357644737632826,"[0.13, 0.1082024432809773, 0.125, 0.0, 0.0, 0.05128205128205128, 0.2857142857142857, 0.125], mean FNR",0.10314984753466427,0.06887459897370143
46,0.1162,0.9838,0.9835,0.0167,0.0155,"[0.04392764857881137, 0.07584269662921349, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1347765390161523,0.12919389468006295,"[0.0723781388478582, 0.07075812274368232, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06516705203727989,0.05679182993823511,0.1324,0.9148,0.9121,0.0856,0.0848,"[0.11180124223602485, 0.1888111888111888, 0.16666666666666666, 0.5, 1.0, 0.08, 0.14285714285714285], mean FPR",0.3128766057958604,0.22886486411288587,"[0.12, 0.1012216404886562, 0.125, 0.0, 0.0, 0.02564102564102564, 0.2857142857142857, 0.125], mean FNR",0.09782211898049595,0.07021876994857548
47,0.1169,0.9830,0.9826,0.0187,0.0153,"[0.04392764857881137, 0.07865168539325842, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13524470381015977,0.12902606201806027,"[0.06499261447562776, 0.06425992779783393, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06343158712252003,0.055167278954264966,0.1299,0.9120,0.9096,0.0915,0.0842,"[0.11801242236024845, 0.20279720279720279, 0.16666666666666666, 0.5, 1.0, 0.08, 0.2857142857142857], mean FPR",0.3361700825054862,0.24796488261731178,"[0.12, 0.09598603839441536, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09396254051358763,0.07290026945131657
48,0.1169,0.9822,0.9819,0.0206,0.0149,"[0.046511627906976744, 0.09269662921348315, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13801619100155813,0.13116155175344843,"[0.0620384047267356, 0.06064981949458484, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.06261104736600238,0.05456856705932672,0.1324,0.9115,0.9095,0.0969,0.0795,"[0.11801242236024845, 0.20279720279720279, 0.16666666666666666, 0.5, 1.0, 0.08, 0.2857142857142857], mean FPR",0.3361700825054862,0.2441208792625452,"[0.10333333333333333, 0.09424083769633508, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09166105709299427,0.0717761800652601
49,0.1207,0.9803,0.9798,0.0180,0.0215,"[0.03875968992248062, 0.06460674157303371, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13204255339740054,0.12603591075730441,"[0.06646971935007386, 0.06931407942238267, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.0642479941848944,0.05287809595452752,0.1332,0.9092,0.9063,0.0900,0.0916,"[0.10559006211180125, 0.1888111888111888, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3221933759821959,0.2350365406453214,"[0.10666666666666667, 0.10296684118673648, 0.125, 0.0, 0.0, 0.0, 0.21428571428571427, 0.125], mean FNR",0.08423990276738968,0.06134612987361679
50,0.1152,0.9815,0.9810,0.0174,0.0197,"[0.03875968992248062, 0.06460674157303371, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.13204255339740054,0.12624790990930781,"[0.07090103397341212, 0.07003610108303249, 0.14705882352941177, 0.013157894736842105, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.07021336865073347,0.05644130818247371,0.1316,0.9105,0.9077,0.0895,0.0895,"[0.09937888198757763, 0.18181818181818182, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3203070635368772,0.23349968305043609,"[0.11, 0.1082024432809773, 0.125, 0.0, 0.0, 0.0, 0.21428571428571427, 0.125], mean FNR",0.08531101969583646,0.06294053303963551
51,0.1159,0.9779,0.9772,0.0134,0.0313,"[0.03359173126614987, 0.05337078651685393, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12930856777864877,0.12485658558657753,"[0.08124076809453472, 0.08736462093862817, 0.14705882352941177, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.0780919454428683,0.05855236057354377,0.1308,0.9090,0.9051,0.0812,0.1015,"[0.09316770186335403, 0.16783216783216784, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3174217500925575,0.23655510206348287,"[0.11666666666666667, 0.12041884816753927, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09659997506856145,0.07122059254632179
52,0.1156,0.9775,0.9767,0.0127,0.0328,"[0.03359173126614987, 0.05056179775280899, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1288404029846413,0.12460041994457344,"[0.07976366322008863, 0.0888086642599278, 0.14705882352941177, 0.013157894736842105, 0.0024449877750611247, 0.03333333333333333, 0.13513513513513514, 0.125], mean FNR",0.07808781274872499,0.057771830363872526,0.1308,0.9092,0.9054,0.0807,0.1015,"[0.09316770186335403, 0.16783216783216784, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3174217500925575,0.23690455691391626,"[0.11, 0.11867364746945899, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09554849164796808,0.07016910912572842
53,0.1187,0.9811,0.9806,0.0136,0.0244,"[0.03359173126614987, 0.047752808988764044, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.1283722381906338,0.12384958961456144,"[0.0723781388478582, 0.07509025270758123, 0.14705882352941177, 0.013157894736842105, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.07102977571310781,0.054928522698264225,0.1332,0.9100,0.9065,0.0832,0.0973,"[0.09937888198757763, 0.18181818181818182, 0.16666666666666666, 0.5, 1.0, 0.08, 0.21428571428571427], mean FPR",0.3203070635368772,0.2380425961060693,"[0.12666666666666668, 0.11169284467713787, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09675922463226128,0.07242641458516552
54,0.1149,0.9827,0.9822,0.0129,0.0220,"[0.028423772609819122, 0.0449438202247191, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12704274695390452,0.12273209752983555,"[0.08124076809453472, 0.08375451263537906, 0.14705882352941177, 0.013157894736842105, 0.0024449877750611247, 0.025, 0.10810810810810811, 0.125], mean FNR",0.07322063685991712,0.0583394370837603,0.1316,0.9130,0.9096,0.0797,0.0947,"[0.08695652173913043, 0.16083916083916083, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.29512727438193276,0.21775797049599485,"[0.13, 0.11518324607329843, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09761219147344802,0.07393348922331719
55,0.1156,0.9828,0.9823,0.0134,0.0213,"[0.025839793281653745, 0.0449438202247191, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12661208373254362,0.12216010154047237,"[0.07976366322008863, 0.08375451263537906, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07109316969864918,0.059834185399071996,0.1340,0.9148,0.9115,0.0788,0.0921,"[0.09937888198757763, 0.16783216783216784, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.29790089827356914,0.22123050408849781,"[0.13, 0.11518324607329843, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09761219147344802,0.07458759702028214
56,0.1152,0.9827,0.9822,0.0142,0.0206,"[0.025839793281653745, 0.0449438202247191, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12661208373254362,0.12187743600446788,"[0.07828655834564253, 0.08086642599277978, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07054752075901849,0.05962127825181045,0.1332,0.9138,0.9106,0.0812,0.0916,"[0.10559006211180125, 0.17482517482517482, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.2997872107188878,0.2217162014932797,"[0.13, 0.11343804537521815, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09739404138618799,0.07450026849241509
57,0.1176,0.9825,0.9821,0.0146,0.0204,"[0.025839793281653745, 0.0449438202247191, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12661208373254362,0.1217361032364656,"[0.07828655834564253, 0.07942238267148015, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.07036701534385603,0.0595516867674377,0.1357,0.9135,0.9104,0.0827,0.0905,"[0.11180124223602485, 0.18181818181818182, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.3016735231642064,0.22297349520781834,"[0.13, 0.11343804537521815, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09739404138618799,0.07476191161120106
58,0.1187,0.9827,0.9822,0.0148,0.0200,"[0.025839793281653745, 0.0449438202247191, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12661208373254362,0.12166543685246446,"[0.07680945347119646, 0.07653429602888087, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.06982136640422537,0.05922786568938645,0.1357,0.9128,0.9097,0.0841,0.0905,"[0.11180124223602485, 0.18181818181818182, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.3016735231642064,0.2223444764770384,"[0.13, 0.11343804537521815, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09739404138618799,0.07476191161120106
59,0.1176,0.9829,0.9824,0.0153,0.0191,"[0.025839793281653745, 0.0449438202247191, 0.0, 0.6666666666666666, 0.022222222222222223, 0.0], mean FPR",0.12661208373254362,0.1215241040844622,"[0.07385524372230429, 0.07509025270758123, 0.11764705882352941, 0.0, 0.0024449877750611247, 0.025, 0.13513513513513514, 0.125], mean FNR",0.0692715847704514,0.0591217397787713,0.1357,0.9128,0.9098,0.0846,0.0900,"[0.11180124223602485, 0.1888111888111888, 0.16666666666666666, 0.5, 1.0, 0.08, 0.07142857142857142], mean FPR",0.3026725241632074,0.2231338045657794,"[0.13, 0.11343804537521815, 0.125, 0.0, 0.0, 0.0, 0.2857142857142857, 0.125], mean FNR",0.09739404138618799,0.07489273317059406
